_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-8.266712649935172,GO:0050896,response to stimulus,M1,1,GO:0031347 regulation of defense response
1,-7.359772887921612,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0002223 stimulatory C-type lectin receptor signaling pathway
1,-7.170728748200362,GO:0002376,immune system process,M1,1,GO:0001909 leukocyte mediated cytotoxicity
1,-6.993883128678359,GO:0048518,positive regulation of biological process,M1,1,GO:0031349 positive regulation of defense response
1,-6.250291259715455,GO:0050789,regulation of biological process,M1,1,GO:0031341 regulation of cell killing
1,-5.749832878399366,GO:0009987,cellular process,M1,1,GO:0001906 cell killing
1,-4.5152500879216735,GO:0022610,biological adhesion,M1,1,GO:0045785 positive regulation of cell adhesion
1,-4.309595484685121,GO:0048519,negative regulation of biological process,M1,1,GO:0002835 negative regulation of response to tumor cell
1,-3.962452080845485,GO:0040011,locomotion,M1,1,GO:0042330 taxis
1,-3.9105305965632033,GO:0051179,localization,M1,1,GO:0003351 epithelial cilium movement involved in extracellular fluid movement
1,-3.310439792184753,GO:0032502,developmental process,M1,1,GO:0001525 angiogenesis
1,-3.142978524570627,GO:0032501,multicellular organismal process,M1,1,GO:0010573 vascular endothelial growth factor production
1,-3.00660578049731,GO:0065007,biological regulation,M1,1,GO:0048872 homeostasis of number of cells
1,-3.005006640157365,GO:0008152,metabolic process,M1,1,GO:0070613 regulation of protein processing
1,-2.449103410791715,GO:0023052,signaling,M1,1,GO:0007264 small GTPase mediated signal transduction
1,-2.3473389994496663,GO:0022414,reproductive process,M1,1,GO:0030317 flagellated sperm motility
