_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-5.817334081511199,GO:1901861,M1,1,0,GO Biological Processes,19,regulation of muscle tissue development,19_GO:0032502 developmental process,-5.817334081511199,12.328626444159179,8.590817972929543,20580,57,205,7,3.4146341463414633,1.26838420024,11555|12043|14605|16842|17127|21416|329278,Adrb2|Bcl2|Tsc22d3|Lef1|Smad3|Tcf7l2|Tnn,-1.5499042006971944,0,1,1,1,-5.817334081511199,27.379157427937912,
1,-4.850371214096255,GO:0016202,M1,1,0,GO Biological Processes,19,regulation of striated muscle tissue development,19_GO:0032502 developmental process,-4.850371214096255,11.364933271974227,7.578477395329469,20580,53,205,6,2.926829268292683,1.1772572449544427,11555|12043|14605|16842|17127|21416,Adrb2|Bcl2|Tsc22d3|Lef1|Smad3|Tcf7l2,-1.0300439178647438,0,1,0,0,-5.817334081511199,27.379157427937912,
1,-4.665893713648934,GO:0048634,M1,1,0,GO Biological Processes,19,regulation of muscle organ development,19_GO:0032502 developmental process,-4.665893713648934,10.56739409499358,7.255225648979477,20580,57,205,6,2.926829268292683,1.1772572449544427,11555|12043|14605|16842|17127|21416,Adrb2|Bcl2|Tsc22d3|Lef1|Smad3|Tcf7l2,-1.0300439178647438,0,1,0,0,-5.817334081511199,27.379157427937912,
1,-3.8195424139444984,GO:0033689,M1,1,0,GO Biological Processes,19,negative regulation of osteoblast proliferation,19_GO:0048519 negative regulation of biological process,-3.8195424139444984,27.379157427937912,8.777906056624948,20580,11,205,3,1.4634146341463414,0.8386978322207049,12043|17127|329278,Bcl2|Smad3|Tnn,-0.7459739078897232,0,1,0,0,-5.817334081511199,27.379157427937912,
1,-3.50589243309803,GO:0048641,M1,1,0,GO Biological Processes,19,regulation of skeletal muscle tissue development,19_GO:0032502 developmental process,-3.50589243309803,12.168514412416851,6.44048278698263,20580,33,205,4,1.951219512195122,0.9660447235891035,11555|12043|14605|21416,Adrb2|Bcl2|Tsc22d3|Tcf7l2,-0.7044518785061351,0,1,0,0,-5.817334081511199,27.379157427937912,
1,-2.575835789076965,GO:0033688,M1,1,0,GO Biological Processes,19,regulation of osteoblast proliferation,19_GO:0050789 regulation of biological process,-2.575835789076965,10.756097560975608,5.181653403895641,20580,28,205,3,1.4634146341463414,0.8386978322207049,12043|17127|329278,Bcl2|Smad3|Tnn,-0.41747402191644356,0,1,0,0,-5.817334081511199,27.379157427937912,
1,-2.5471759442514523,GO:0045599,M1,1,0,GO Biological Processes,19,negative regulation of fat cell differentiation,19_GO:0048519 negative regulation of biological process,-2.5471759442514523,6.806118230673833,4.47974069668147,20580,59,205,4,1.951219512195122,0.9660447235891035,17127|21416|223435|228775,Smad3|Tcf7l2|Trio|Trib3,-0.41022593625558823,0,1,0,0,-5.817334081511199,27.379157427937912,
1,-4.764203311622253,WP85,M1,1,0,WikiPathways,27,Focal adhesion,,-4.764203311622253,5.42649967040211,6.066311413332147,20580,185,205,10,4.878048780487805,1.5044803302525718,12043|12826|14083|14268|18479|18708|22165|22793|320207|329278,Bcl2|Col4a1|Ptk2|Fn1|Pak1|Pik3r1|Txk|Zyx|Pik3r5|Tnn,-1.0300439178647438,0,2,1,1,-4.764203311622253,7.556254917387884,
1,-4.394383811686805,mmu05222,M1,1,0,KEGG Pathway,24,Small cell lung cancer,,-4.394383811686805,7.556254917387884,6.356212049016652,20580,93,205,7,3.4146341463414633,1.26838420024,12043|12579|12826|14083|14268|17869|18708,Bcl2|Cdkn2b|Col4a1|Ptk2|Fn1|Myc|Pik3r1,-1.0300439178647438,0,2,0,0,-4.764203311622253,7.556254917387884,
1,-3.2801912053790625,mmu04933,M1,1,0,KEGG Pathway,24,AGE-RAGE signaling pathway in diabetic complications,,-3.2801912053790625,5.963776865491426,5.016014923345569,20580,101,205,6,2.926829268292683,1.1772572449544427,12043|12826|14268|17127|18708|50490,Bcl2|Col4a1|Fn1|Smad3|Pik3r1|Nox4,-0.6360106149629579,0,2,0,0,-4.764203311622253,7.556254917387884,
