_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-5.180168473383164,GO:0002376,immune system process,M1,1,GO:0045063 T-helper 1 cell differentiation
1,-4.93717336749273,GO:0040011,locomotion,M1,1,GO:0042330 taxis
1,-4.518927415440837,GO:0048519,negative regulation of biological process,M1,1,GO:0045596 negative regulation of cell differentiation
1,-4.517354060453982,GO:0032502,developmental process,M1,1,GO:0016202 regulation of striated muscle tissue development
1,-4.249742717759785,GO:0009987,cellular process,M1,1,GO:0043149 stress fiber assembly
1,-4.167723642481691,GO:0050896,response to stimulus,M1,1,GO:0031667 response to nutrient levels
1,-4.098165709654366,GO:0022610,biological adhesion,M1,1,GO:0030155 regulation of cell adhesion
1,-4.0708752139601385,GO:0048518,positive regulation of biological process,M1,1,GO:0070230 positive regulation of lymphocyte apoptotic process
1,-3.8534579950586183,GO:0050789,regulation of biological process,M1,1,GO:0070232 regulation of T cell apoptotic process
1,-3.6977241615918635,GO:0065007,biological regulation,M1,1,GO:0051098 regulation of binding
1,-3.657921745585824,GO:0032501,multicellular organismal process,M1,1,GO:0048871 multicellular organismal homeostasis
1,-3.524070509953535,GO:0008152,metabolic process,M1,1,GO:0043471 regulation of cellular carbohydrate catabolic process
1,-3.4775944576035105,GO:0023052,signaling,M1,1,GO:0007179 transforming growth factor beta receptor signaling pathway
1,-2.998148741576273,GO:0040007,growth,M1,1,GO:0045926 negative regulation of growth
1,-2.717159745057009,GO:0051179,localization,M1,1,GO:0051272 positive regulation of cellular component movement
1,-2.4095941887364836,GO:0051704,multi-organism process,M1,1,GO:0120316 sperm flagellum assembly
