Network,Annotation
Geneid,GO:0060326|cell chemotaxis|-7.0;GO:0030335|positive regulation of cell migration|-6.7;GO:0030036|actin cytoskeleton organization|-6.6
Geneid_MCODE_ALL,WP2292|Chemokine signaling pathway|-9.5;ko04062|Chemokine signaling pathway|-9.5;mmu04062|Chemokine signaling pathway|-9.4
Geneid_SUB1_MCODE_1,WP2292|Chemokine signaling pathway|-9.5;ko04062|Chemokine signaling pathway|-9.5;mmu04062|Chemokine signaling pathway|-9.4
